"Label (Grouping)","Total:","Total:!!Owner occupied","Total:!!Renter occupied"
"    Estimate","33,994","29,469","4,525"
"Carroll County, Maryland","","",""
"    Estimate","64,161","54,677","9,484"
"Cecil County, Maryland","","",""
"    Estimate","41,000","32,006","8,994"
"Charles County, Maryland","","",""
"    Estimate","59,481","47,426","12,055"
"Frederick County, Maryland","","",""
"    Estimate","103,685","79,433","24,252"
"Harford County, Maryland","","",""
"    Estimate","101,196","80,967","20,229"
"Howard County, Maryland","","",""
"    Estimate","120,546","89,220","31,326"
"Montgomery County, Maryland","","",""
"    Estimate","388,396","255,211","133,185"
"Prince George's County, Maryland","","",""
"    Estimate","346,127","215,180","130,947"
"St. Mary's County, Maryland","","",""
"    Estimate","42,078","31,926","10,152"
"Washington County, Maryland","","",""
"    Estimate","60,215","38,275","21,940"
"Wicomico County, Maryland","","",""
"    Estimate","40,577","25,362","15,215"
"Baltimore city, Maryland","","",""
"    Estimate","254,370","123,249","131,121"
"Barnstable County, Massachusetts","","",""
"    Estimate","104,733","86,167","18,566"
"Berkshire County, Massachusetts","","",""
"    Estimate","57,765","40,501","17,264"
"Bristol County, Massachusetts","","",""
"    Estimate","233,531","144,141","89,390"
"Essex County, Massachusetts","","",""
"    Estimate","309,972","201,695","108,277"
"Franklin County, Massachusetts","","",""
"    Estimate","30,374","21,705","8,669"
"Hampden County, Massachusetts","","",""
"    Estimate","184,544","113,645","70,899"
"Hampshire County, Massachusetts","","",""
"    Estimate","60,870","41,492","19,378"
"Middlesex County, Massachusetts","","",""
"    Estimate","632,831","393,249","239,582"
"Norfolk County, Massachusetts","","",""
"    Estimate","280,067","191,602","88,465"
"Plymouth County, Massachusetts","","",""
"    Estimate","202,084","160,130","41,954"
"Suffolk County, Massachusetts","","",""
"    Estimate","315,257","114,409","200,848"
"Worcester County, Massachusetts","","",""
"    Estimate","333,435","223,389","110,046"
"Allegan County, Michigan","","",""
"    Estimate","44,479","39,160","5,319"
"Bay County, Michigan","","",""
"    Estimate","45,487","35,272","10,215"
"Berrien County, Michigan","","",""
"    Estimate","65,764","47,486","18,278"
"Calhoun County, Michigan","","",""
"    Estimate","53,482","39,159","14,323"
"Clinton County, Michigan","","",""
"    Estimate","30,952","25,203","5,749"
"Eaton County, Michigan","","",""
"    Estimate","45,137","33,086","12,051"
"Genesee County, Michigan","","",""
"    Estimate","167,895","118,767","49,128"
"Grand Traverse County, Michigan","","",""
"    Estimate","40,083","30,578","9,505"
"Ingham County, Michigan","","",""
"    Estimate","115,752","69,127","46,625"
"Ionia County, Michigan","","",""
"    Estimate","23,531","18,783","4,748"
"Jackson County, Michigan","","",""
"    Estimate","61,937","46,421","15,516"
"Kalamazoo County, Michigan","","",""
"    Estimate","105,642","67,161","38,481"
"Kent County, Michigan","","",""
"    Estimate","253,092","179,535","73,557"
"Lapeer County, Michigan","","",""
"    Estimate","34,447","29,413","5,034"
"Lenawee County, Michigan","","",""
"    Estimate","38,963","31,490","7,473"
"Livingston County, Michigan","","",""
"    Estimate","75,370","66,499","8,871"
"Macomb County, Michigan","","",""
"    Estimate","358,011","269,445","88,566"
"Marquette County, Michigan","","",""
"    Estimate","27,290","19,155","8,135"
"Midland County, Michigan","","",""
"    Estimate","35,453","26,716","8,737"
"Monroe County, Michigan","","",""
"    Estimate","61,574","50,129","11,445"
"Montcalm County, Michigan","","",""
"    Estimate","23,745","19,542","4,203"
"Muskegon County, Michigan","","",""
"    Estimate","67,707","50,901","16,806"
"Oakland County, Michigan","","",""
"    Estimate","530,383","387,843","142,540"
"Ottawa County, Michigan","","",""
"    Estimate","110,045","87,974","22,071"
"Saginaw County, Michigan","","",""
"    Estimate","80,146","57,491","22,655"
"St. Clair County, Michigan","","",""
"    Estimate","66,324","52,092","14,232"
"Shiawassee County, Michigan","","",""
"    Estimate","28,226","21,810","6,416"
"Van Buren County, Michigan","","",""
"    Estimate","28,457","22,964","5,493"
"Washtenaw County, Michigan","","",""
"    Estimate","149,133","90,429","58,704"
"Wayne County, Michigan","","",""
"    Estimate","695,038","451,506","243,532"
"Anoka County, Minnesota","","",""
"    Estimate","135,265","107,974","27,291"
"Blue Earth County, Minnesota","","",""
"    Estimate","27,604","17,955","9,649"
"Carver County, Minnesota","","",""
"    Estimate","40,141","32,729","7,412"
"Clay County, Minnesota","","",""
"    Estimate","26,236","18,007","8,229"
"Crow Wing County, Minnesota","","",""
"    Estimate","27,753","21,457","6,296"
"Dakota County, Minnesota","","",""
"    Estimate","170,696","131,678","39,018"
"Hennepin County, Minnesota","","",""
"    Estimate","532,149","340,705","191,444"
"Olmsted County, Minnesota","","",""
"    Estimate","65,122","46,141","18,981"
"Ramsey County, Minnesota","","",""
"    Estimate","218,817","135,410","83,407"
"Rice County, Minnesota","","",""
"    Estimate","23,779","18,605","5,174"
"St. Louis County, Minnesota","","",""
"    Estimate","85,576","62,227","23,349"
"Scott County, Minnesota","","",""
"    Estimate","55,327","45,118","10,209"
"Sherburne County, Minnesota","","",""
"    Estimate","34,738","30,046","4,692"
"Stearns County, Minnesota","","",""
"    Estimate","62,168","41,962","20,206"
"Washington County, Minnesota","","",""
"    Estimate","102,421","83,787","18,634"
"Wright County, Minnesota","","",""
"    Estimate","52,260","42,567","9,693"
"DeSoto County, Mississippi","","",""
"    Estimate","68,966","54,420","14,546"
"Forrest County, Mississippi","","",""
"    Estimate","30,600","16,237","14,363"
"Harrison County, Mississippi","","",""
"    Estimate","81,224","47,819","33,405"
"Hinds County, Mississippi","","",""
"    Estimate","91,067","50,684","40,383"
"Jackson County, Mississippi","","",""
"    Estimate","56,984","43,259","13,725"
"Jones County, Mississippi","","",""
"    Estimate","23,506","18,271","5,235"
"Lamar County, Mississippi","","",""
"    Estimate","25,688","17,807","7,881"
"Lauderdale County, Mississippi","","",""
"    Estimate","28,212","18,170","10,042"
"Lee County, Mississippi","","",""
"    Estimate","32,722","22,168","10,554"
"Madison County, Mississippi","","",""
"    Estimate","42,558","29,673","12,885"
"Rankin County, Mississippi","","",""
"    Estimate","59,894","46,781","13,113"
"Boone County, Missouri","","",""
"    Estimate","75,036","44,274","30,762"
"Buchanan County, Missouri","","",""
"    Estimate","33,334","20,790","12,544"
"Cape Girardeau County, Missouri","","",""
"    Estimate","32,800","22,554","10,246"
"Cass County, Missouri","","",""
"    Estimate","42,361","34,140","8,221"
"Christian County, Missouri","","",""
"    Estimate","34,116","26,554","7,562"
"Clay County, Missouri","","",""
"    Estimate","100,737","67,948","32,789"
"Cole County, Missouri","","",""
"    Estimate","29,522","20,420","9,102"
"Franklin County, Missouri","","",""
"    Estimate","41,301","32,735","8,566"
"Greene County, Missouri","","",""
"    Estimate","130,986","77,939","53,047"
"Jackson County, Missouri","","",""
"    Estimate","302,965","180,737","122,228"
"Jasper County, Missouri","","",""
"    Estimate","47,864","31,063","16,801"
"Jefferson County, Missouri","","",""
"    Estimate","88,806","72,070","16,736"
"Platte County, Missouri","","",""
"    Estimate","43,201","29,169","14,032"
"St. Charles County, Missouri","","",""
"    Estimate","157,907","127,496","30,411"
"St. Francois County, Missouri","","",""
"    Estimate","25,030","16,525","8,505"
"St. Louis County, Missouri","","",""
"    Estimate","412,833","290,317","122,516"
"St. Louis city, Missouri","","",""
"    Estimate","139,736","63,653","76,083"
"Cascade County, Montana","","",""
"    Estimate","34,303","22,534","11,769"
"Flathead County, Montana","","",""
"    Estimate","42,900","33,679","9,221"
"Gallatin County, Montana","","",""
"    Estimate","48,796","30,810","17,986"
"Lewis and Clark County, Montana","","",""
"    Estimate","31,208","21,277","9,931"
"Missoula County, Montana","","",""
"    Estimate","51,957","29,863","22,094"
"Yellowstone County, Montana","","",""
"    Estimate","69,001","48,805","20,196"
"Douglas County, Nebraska","","",""
"    Estimate","236,106","147,667","88,439"
"Lancaster County, Nebraska","","",""
"    Estimate","131,417","79,888","51,529"
"Sarpy County, Nebraska","","",""
"    Estimate","72,428","50,949","21,479"
"Clark County, Nevada","","",""
"    Estimate","854,289","484,085","370,204"
"Washoe County, Nevada","","",""
"    Estimate","198,018","118,578","79,440"
"Cheshire County, New Hampshire","","",""
"    Estimate","28,266","21,076","7,190"
"Grafton County, New Hampshire","","",""
"    Estimate","35,199","24,673","10,526"
"Hillsborough County, New Hampshire","","",""
"    Estimate","167,899","113,736","54,163"
"Merrimack County, New Hampshire","","",""
"    Estimate","58,733","42,845","15,888"
"Rockingham County, New Hampshire","","",""
"    Estimate","127,882","98,692","29,190"
"Strafford County, New Hampshire","","",""
"    Estimate","52,067","35,609","16,458"
"Atlantic County, New Jersey","","",""
"    Estimate","112,299","75,198","37,101"
"Bergen County, New Jersey","","",""
"    Estimate","352,030","234,102","117,928"
"Burlington County, New Jersey","","",""
"    Estimate","175,859","136,141","39,718"
"Camden County, New Jersey","","",""
"    Estimate","201,158","131,385","69,773"
"Cape May County, New Jersey","","",""
"    Estimate","48,860","38,163","10,697"
"Cumberland County, New Jersey","","",""
"    Estimate","53,883","35,266","18,617"
"Essex County, New Jersey","","",""
"    Estimate","322,453","143,674","178,779"
"Gloucester County, New Jersey","","",""
"    Estimate","112,502","90,679","21,823"
"Hudson County, New Jersey","","",""
"    Estimate","292,000","94,167","197,833"
"Hunterdon County, New Jersey","","",""
"    Estimate","51,292","44,572","6,720"
"Mercer County, New Jersey","","",""
"    Estimate","143,970","90,821","53,149"
"Middlesex County, New Jersey","","",""
"    Estimate","307,831","199,177","108,654"
"Monmouth County, New Jersey","","",""
"    Estimate","250,738","189,905","60,833"
"Morris County, New Jersey","","",""
"    Estimate","192,847","145,301","47,546"
"Ocean County, New Jersey","","",""
"    Estimate","240,736","193,793","46,943"
"Passaic County, New Jersey","","",""
"    Estimate","177,063","92,159","84,904"
"Salem County, New Jersey","","",""
"    Estimate","24,973","17,937","7,036"
"Somerset County, New Jersey","","",""
"    Estimate","130,939","100,542","30,397"
"Sussex County, New Jersey","","",""
"    Estimate","58,767","50,953","7,814"
"Union County, New Jersey","","",""
"    Estimate","201,392","115,020","86,372"
"Warren County, New Jersey","","",""
"    Estimate","46,353","34,019","12,334"
"Bernalillo County, New Mexico","","",""
"    Estimate","285,185","181,328","103,857"
"Doña Ana County, New Mexico","","",""
"    Estimate","85,021","53,684","31,337"
"Lea County, New Mexico","","",""
"    Estimate","24,390","16,946","7,444"
"McKinley County, New Mexico","","",""
"    Estimate","20,949","15,884","5,065"
"Otero County, New Mexico","","",""
"    Estimate","24,034","16,348","7,686"
"Sandoval County, New Mexico","","",""
"    Estimate","56,655","47,271","9,384"
"San Juan County, New Mexico","","",""
"    Estimate","40,844","29,061","11,783"
"Santa Fe County, New Mexico","","",""
"    Estimate","70,152","52,206","17,946"
"Valencia County, New Mexico","","",""
"    Estimate","28,875","23,200","5,675"
"Albany County, New York","","",""
"    Estimate","132,171","78,607","53,564"
"Bronx County, New York","","",""
"    Estimate","533,004","104,431","428,573"
"Broome County, New York","","",""
"    Estimate","84,452","55,092","29,360"
"Cattaraugus County, New York","","",""
"    Estimate","32,562","24,835","7,727"
"Cayuga County, New York","","",""
"    Estimate","32,392","22,858","9,534"
"Chautauqua County, New York","","",""
"    Estimate","53,309","37,441","15,868"
"Chemung County, New York","","",""
"    Estimate","35,407","24,083","11,324"
"Clinton County, New York","","",""
"    Estimate","33,860","24,397","9,463"
"Dutchess County, New York","","",""
"    Estimate","118,175","85,837","32,338"
"Erie County, New York","","",""
"    Estimate","412,870","276,039","136,831"
"Jefferson County, New York","","",""
"    Estimate","48,628","27,347","21,281"
"Kings County, New York","","",""
"    Estimate","1,001,868","303,368","698,500"
"Madison County, New York","","",""
"    Estimate","25,294","20,037","5,257"
"Monroe County, New York","","",""
"    Estimate","318,883","206,754","112,129"
"Nassau County, New York","","",""
"    Estimate","459,452","385,553","73,899"
"New York County, New York","","",""
"    Estimate","737,575","184,279","553,296"
"Niagara County, New York","","",""
"    Estimate","90,975","65,047","25,928"
"Oneida County, New York","","",""
"    Estimate","93,373","62,721","30,652"
"Onondaga County, New York","","",""
"    Estimate","198,132","128,964","69,168"
"Ontario County, New York","","",""
"    Estimate","47,607","34,755","12,852"
"Orange County, New York","","",""
"    Estimate","137,561","97,214","40,347"
"Oswego County, New York","","",""
"    Estimate","46,924","35,039","11,885"
"Putnam County, New York","","",""
"    Estimate","35,166","29,153","6,013"
"Queens County, New York","","",""
"    Estimate","820,686","374,621","446,065"
"Rensselaer County, New York","","",""
"    Estimate","66,431","42,346","24,085"
"Richmond County, New York","","",""
"    Estimate","170,762","119,237","51,525"
"Rockland County, New York","","",""
"    Estimate","102,609","71,634","30,975"
"St. Lawrence County, New York","","",""
"    Estimate","42,298","29,962","12,336"
"Saratoga County, New York","","",""
"    Estimate","100,226","73,615","26,611"
"Schenectady County, New York","","",""
"    Estimate","66,910","43,568","23,342"
"Steuben County, New York","","",""
"    Estimate","39,500","29,436","10,064"
"Suffolk County, New York","","",""
"    Estimate","511,951","424,201","87,750"
"Sullivan County, New York","","",""
"    Estimate","32,529","20,800","11,729"
"Tompkins County, New York","","",""
"    Estimate","44,469","23,797","20,672"
"Ulster County, New York","","",""
"    Estimate","75,053","55,847","19,206"
"Warren County, New York","","",""
"    Estimate","29,729","21,135","8,594"
"Wayne County, New York","","",""
"    Estimate","38,634","30,334","8,300"
"Westchester County, New York","","",""
"    Estimate","371,736","239,604","132,132"
"Alamance County, North Carolina","","",""
"    Estimate","69,343","45,206","24,137"
"Brunswick County, North Carolina","","",""
"    Estimate","65,337","54,941","10,396"
"Buncombe County, North Carolina","","",""
"    Estimate","97,345","63,366","33,979"
"Burke County, North Carolina","","",""
"    Estimate","35,709","25,760","9,949"
"Cabarrus County, North Carolina","","",""
"    Estimate","73,486","54,733","18,753"
"Caldwell County, North Carolina","","",""
"    Estimate","32,600","23,983","8,617"
"Carteret County, North Carolina","","",""
"    Estimate","30,589","23,376","7,213"
"Catawba County, North Carolina","","",""
"    Estimate","64,302","44,289","20,013"
"Chatham County, North Carolina","","",""
"    Estimate","31,474","25,288","6,186"
"Cleveland County, North Carolina","","",""
"    Estimate","40,296","30,078","10,218"
"Craven County, North Carolina","","",""
"    Estimate","42,139","27,660","14,479"
"Cumberland County, North Carolina","","",""
"    Estimate","129,898","67,871","62,027"
"Davidson County, North Carolina","","",""
"    Estimate","66,245","48,966","17,279"
"Durham County, North Carolina","","",""
"    Estimate","138,497","75,799","62,698"
"Forsyth County, North Carolina","","",""
"    Estimate","155,985","100,890","55,095"
"Franklin County, North Carolina","","",""
"    Estimate","26,689","21,117","5,572"
"Gaston County, North Carolina","","",""
"    Estimate","93,913","62,702","31,211"
"Guilford County, North Carolina","","",""
"    Estimate","212,574","134,249","78,325"
"Harnett County, North Carolina","","",""
"    Estimate","49,555","32,422","17,133"
"Henderson County, North Carolina","","",""
"    Estimate","50,136","38,294","11,842"
"Iredell County, North Carolina","","",""
"    Estimate","73,434","53,993","19,441"
"Johnston County, North Carolina","","",""
"    Estimate","82,113","64,840","17,273"
"Lincoln County, North Carolina","","",""
"    Estimate","36,361","29,279","7,082"
"Mecklenburg County, North Carolina","","",""
"    Estimate","458,344","258,844","199,500"
"Moore County, North Carolina","","",""
"    Estimate","43,554","32,146","11,408"
"Nash County, North Carolina","","",""
"    Estimate","38,029","24,617","13,412"
"New Hanover County, North Carolina","","",""
"    Estimate","103,762","61,793","41,969"
"Onslow County, North Carolina","","",""
"    Estimate","73,121","46,080","27,041"
"Orange County, North Carolina","","",""
"    Estimate","56,263","37,418","18,845"
"Pitt County, North Carolina","","",""
"    Estimate","75,578","37,408","38,170"
"Randolph County, North Carolina","","",""
"    Estimate","55,948","41,938","14,010"
"Robeson County, North Carolina","","",""
"    Estimate","43,529","28,502","15,027"
"Rockingham County, North Carolina","","",""
"    Estimate","38,481","27,799","10,682"
"Rowan County, North Carolina","","",""
"    Estimate","57,024","41,333","15,691"
"Surry County, North Carolina","","",""
"    Estimate","30,317","22,422","7,895"
"Union County, North Carolina","","",""
"    Estimate","83,407","68,096","15,311"
"Wake County, North Carolina","","",""
"    Estimate","439,911","285,898","154,013"
"Wayne County, North Carolina","","",""
"    Estimate","46,932","27,419","19,513"
"Wilkes County, North Carolina","","",""
"    Estimate","26,770","18,080","8,690"
"Wilson County, North Carolina","","",""
"    Estimate","32,868","18,819","14,049"
"Burleigh County, North Dakota","","",""
"    Estimate","39,295","27,985","11,310"
"Cass County, North Dakota","","",""
"    Estimate","83,761","42,630","41,131"
"Grand Forks County, North Dakota","","",""
"    Estimate","31,152","15,339","15,813"
"Ward County, North Dakota","","",""
"    Estimate","28,795","17,489","11,306"
"Allen County, Ohio","","",""
"    Estimate","41,021","27,079","13,942"
"Ashtabula County, Ohio","","",""
"    Estimate","39,915","28,433","11,482"
"Belmont County, Ohio","","",""
"    Estimate","26,949","19,413","7,536"
"Butler County, Ohio","","",""
"    Estimate","146,057","106,012","40,045"
"Clark County, Ohio","","",""
"    Estimate","57,013","40,145","16,868"
"Clermont County, Ohio","","",""
"    Estimate","84,219","59,240","24,979"
"Columbiana County, Ohio","","",""
"    Estimate","41,047","30,441","10,606"
"Cuyahoga County, Ohio","","",""
"    Estimate","557,572","325,598","231,974"
"Delaware County, Ohio","","",""
"    Estimate","80,640","64,044","16,596"
"Erie County, Ohio","","",""
"    Estimate","32,926","22,163","10,763"
"Fairfield County, Ohio","","",""
"    Estimate","59,818","44,142","15,676"
"Franklin County, Ohio","","",""
"    Estimate","549,475","292,466","257,009"
"Geauga County, Ohio","","",""
"    Estimate","35,431","30,922","4,509"
"Greene County, Ohio","","",""
"    Estimate","67,822","48,415","19,407"
"Hamilton County, Ohio","","",""
"    Estimate","353,674","210,599","143,075"
"Hancock County, Ohio","","",""
"    Estimate","31,951","23,671","8,280"
"Lake County, Ohio","","",""
"    Estimate","99,990","78,049","21,941"
"Licking County, Ohio","","",""
"    Estimate","67,761","51,616","16,145"
"Lorain County, Ohio","","",""
"    Estimate","124,879","89,964","34,915"
"Lucas County, Ohio","","",""
"    Estimate","184,315","115,791","68,524"
"Mahoning County, Ohio","","",""
"    Estimate","98,924","69,213","29,711"
"Marion County, Ohio","","",""
"    Estimate","24,692","17,052","7,640"
"Medina County, Ohio","","",""
"    Estimate","72,233","59,492","12,741"
"Miami County, Ohio","","",""
"    Estimate","43,896","32,540","11,356"
"Montgomery County, Ohio","","",""
"    Estimate","226,787","141,587","85,200"
"Muskingum County, Ohio","","",""
"    Estimate","33,876","22,087","11,789"
"Portage County, Ohio","","",""
"    Estimate","63,096","44,060","19,036"
"Richland County, Ohio","","",""
"    Estimate","49,536","33,905","15,631"
"Ross County, Ohio","","",""
"    Estimate","30,550","20,776","9,774"
"Scioto County, Ohio","","",""
"    Estimate","27,496","18,481","9,015"
"Stark County, Ohio","","",""
"    Estimate","156,111","108,203","47,908"
"Summit County, Ohio","","",""
"    Estimate","229,060","153,902","75,158"
"Trumbull County, Ohio","","",""
"    Estimate","84,911","61,515","23,396"
"Tuscarawas County, Ohio","","",""
"    Estimate","38,684","25,924","12,760"
"Warren County, Ohio","","",""
"    Estimate","89,396","72,559","16,837"
"Wayne County, Ohio","","",""
"    Estimate","44,215","32,440","11,775"
"Wood County, Ohio","","",""
"    Estimate","54,012","34,613","19,399"
"Canadian County, Oklahoma","","",""
"    Estimate","57,753","44,107","13,646"
"Cleveland County, Oklahoma","","",""
"    Estimate","116,142","75,009","41,133"
"Comanche County, Oklahoma","","",""
"    Estimate","44,822","23,459","21,363"
"Creek County, Oklahoma","","",""
"    Estimate","28,339","21,357","6,982"
"Muskogee County, Oklahoma","","",""
"    Estimate","25,965","17,769","8,196"
"Oklahoma County, Oklahoma","","",""
"    Estimate","324,819","189,715","135,104"
"Payne County, Oklahoma","","",""
"    Estimate","31,537","16,261","15,276"
"Pottawatomie County, Oklahoma","","",""
"    Estimate","26,650","19,036","7,614"
"Rogers County, Oklahoma","","",""
"    Estimate","35,815","27,919","7,896"
"Tulsa County, Oklahoma","","",""
"    Estimate","270,263","161,274","108,989"
"Wagoner County, Oklahoma","","",""
"    Estimate","30,502","24,381","6,121"
"Benton County, Oregon","","",""
"    Estimate","39,350","20,565","18,785"
"Clackamas County, Oregon","","",""
"    Estimate","161,945","118,814","43,131"
"Deschutes County, Oregon","","",""
"    Estimate","83,763","62,718","21,045"
"Douglas County, Oregon","","",""
"    Estimate","45,981","32,632","13,349"
"Jackson County, Oregon","","",""
"    Estimate","90,817","62,011","28,806"
"Josephine County, Oregon","","",""
"    Estimate","36,755","24,739","12,016"
"Klamath County, Oregon","","",""
"    Estimate","28,888","19,555","9,333"
"Lane County, Oregon","","",""
"    Estimate","160,158","97,518","62,640"
"Linn County, Oregon","","",""
"    Estimate","51,347","34,437","16,910"
"Marion County, Oregon","","",""
"    Estimate","124,719","77,794","46,925"
"Multnomah County, Oregon","","",""
"    Estimate","348,216","190,826","157,390"
"Polk County, Oregon","","",""
"    Estimate","33,425","22,068","11,357"
"Umatilla County, Oregon","","",""
"    Estimate","27,247","18,716","8,531"
"Washington County, Oregon","","",""
"    Estimate","233,615","137,640","95,975"
"Yamhill County, Oregon","","",""
"    Estimate","38,988","27,392","11,596"
"Adams County, Pennsylvania","","",""
"    Estimate","39,986","31,670","8,316"
"Allegheny County, Pennsylvania","","",""
"    Estimate","545,892","359,615","186,277"
"Armstrong County, Pennsylvania","","",""
"    Estimate","27,796","21,848","5,948"
"Beaver County, Pennsylvania","","",""
"    Estimate","71,450","54,476","16,974"
"Berks County, Pennsylvania","","",""
"    Estimate","164,312","118,330","45,982"
"Blair County, Pennsylvania","","",""
"    Estimate","49,795","38,832","10,963"
"Bucks County, Pennsylvania","","",""
"    Estimate","248,122","190,258","57,864"
"Butler County, Pennsylvania","","",""
"    Estimate","81,220","63,916","17,304"
"Cambria County, Pennsylvania","","",""
"    Estimate","55,283","43,056","12,227"
"Carbon County, Pennsylvania","","",""
"    Estimate","26,810","19,616","7,194"
"Centre County, Pennsylvania","","",""
"    Estimate","57,518","37,764","19,754"
"Chester County, Pennsylvania","","",""
"    Estimate","204,047","152,009","52,038"
"Clearfield County, Pennsylvania","","",""
"    Estimate","31,570","25,112","6,458"
"Crawford County, Pennsylvania","","",""
"    Estimate","32,896","25,485","7,411"
"Cumberland County, Pennsylvania","","",""
"    Estimate","104,768","78,350","26,418"
"Dauphin County, Pennsylvania","","",""
"    Estimate","120,423","79,289","41,134"
"Delaware County, Pennsylvania","","",""
"    Estimate","218,280","150,753","67,527"
"Erie County, Pennsylvania","","",""
"    Estimate","110,561","74,697","35,864"
"Fayette County, Pennsylvania","","",""
"    Estimate","55,986","41,839","14,147"
"Franklin County, Pennsylvania","","",""
"    Estimate","62,081","45,645","16,436"
"Indiana County, Pennsylvania","","",""
"    Estimate","32,956","23,838","9,118"
"Lackawanna County, Pennsylvania","","",""
"    Estimate","88,294","58,765","29,529"
"Lancaster County, Pennsylvania","","",""
"    Estimate","210,063","145,444","64,619"
"Lawrence County, Pennsylvania","","",""
"    Estimate","36,286","27,084","9,202"
"Lebanon County, Pennsylvania","","",""
"    Estimate","54,906","38,556","16,350"
"Lehigh County, Pennsylvania","","",""
"    Estimate","141,505","90,523","50,982"
"Luzerne County, Pennsylvania","","",""
"    Estimate","134,132","91,558","42,574"
"Lycoming County, Pennsylvania","","",""
"    Estimate","47,022","33,788","13,234"
"Mercer County, Pennsylvania","","",""
"    Estimate","46,701","33,465","13,236"
"Monroe County, Pennsylvania","","",""
"    Estimate","65,907","53,707","12,200"
"Montgomery County, Pennsylvania","","",""
"    Estimate","335,248","242,411","92,837"
"Northampton County, Pennsylvania","","",""
"    Estimate","122,615","88,929","33,686"
"Northumberland County, Pennsylvania","","",""
"    Estimate","37,823","28,575","9,248"
"Philadelphia County, Pennsylvania","","",""
"    Estimate","660,921","348,935","311,986"
"Schuylkill County, Pennsylvania","","",""
"    Estimate","58,212","42,939","15,273"
"Somerset County, Pennsylvania","","",""
"    Estimate","29,115","22,970","6,145"
"Washington County, Pennsylvania","","",""
"    Estimate","88,544","70,795","17,749"
"Westmoreland County, Pennsylvania","","",""
"    Estimate","154,810","120,390","34,420"
"York County, Pennsylvania","","",""
"    Estimate","178,898","137,171","41,727"
"Kent County, Rhode Island","","",""
"    Estimate","73,182","50,749","22,433"
"Newport County, Rhode Island","","",""
"    Estimate","38,311","24,314","13,997"
"Providence County, Rhode Island","","",""
"    Estimate","254,178","145,428","108,750"
"Washington County, Rhode Island","","",""
"    Estimate","54,044","42,230","11,814"
"Aiken County, South Carolina","","",""
"    Estimate","67,224","51,756","15,468"
"Anderson County, South Carolina","","",""
"    Estimate","82,203","60,889","21,314"
"Beaufort County, South Carolina","","",""
"    Estimate","76,249","56,509","19,740"
"Berkeley County, South Carolina","","",""
"    Estimate","88,092","66,914","21,178"
"Charleston County, South Carolina","","",""
"    Estimate","169,851","112,796","57,055"
"Dorchester County, South Carolina","","",""
"    Estimate","58,435","44,344","14,091"
"Florence County, South Carolina","","",""
"    Estimate","51,484","33,923","17,561"
"Greenville County, South Carolina","","",""
"    Estimate","212,333","150,513","61,820"
"Greenwood County, South Carolina","","",""
"    Estimate","26,577","17,084","9,493"
"Horry County, South Carolina","","",""
"    Estimate","145,335","107,668","37,667"
"Kershaw County, South Carolina","","",""
"    Estimate","25,412","21,059","4,353"
"Lancaster County, South Carolina","","",""
"    Estimate","38,570","31,716","6,854"
"Laurens County, South Carolina","","",""
"    Estimate","26,580","20,421","6,159"
"Lexington County, South Carolina","","",""
"    Estimate","120,968","93,996","26,972"
"Oconee County, South Carolina","","",""
"    Estimate","34,023","26,118","7,905"
"Orangeburg County, South Carolina","","",""
"    Estimate","32,017","20,353","11,664"
"Pickens County, South Carolina","","",""
"    Estimate","51,996","36,535","15,461"
"Richland County, South Carolina","","",""
"    Estimate","166,515","101,362","65,153"
"Spartanburg County, South Carolina","","",""
"    Estimate","128,437","95,685","32,752"
"Sumter County, South Carolina","","",""
"    Estimate","43,191","29,404","13,787"
"York County, South Carolina","","",""
"    Estimate","113,195","82,989","30,206"
"Lincoln County, South Dakota","","",""
"    Estimate","26,565","19,140","7,425"
"Minnehaha County, South Dakota","","",""
"    Estimate","82,289","53,001","29,288"
"Pennington County, South Dakota","","",""
"    Estimate","46,296","33,387","12,909"
"Anderson County, Tennessee","","",""
"    Estimate","31,735","24,033","7,702"
"Blount County, Tennessee","","",""
"    Estimate","55,446","41,587","13,859"
"Bradley County, Tennessee","","",""
"    Estimate","43,025","29,429","13,596"
"Davidson County, Tennessee","","",""
"    Estimate","316,273","169,875","146,398"
"Greene County, Tennessee","","",""
"    Estimate","28,585","22,711","5,874"
"Hamilton County, Tennessee","","",""
"    Estimate","151,676","97,800","53,876"
"Knox County, Tennessee","","",""
"    Estimate","198,914","127,678","71,236"
"Madison County, Tennessee","","",""
"    Estimate","39,730","25,405","14,325"
"Maury County, Tennessee","","",""
"    Estimate","41,309","29,567","11,742"
"Montgomery County, Tennessee","","",""
"    Estimate","84,145","51,747","32,398"
"Putnam County, Tennessee","","",""
"    Estimate","33,652","20,431","13,221"
"Robertson County, Tennessee","","",""
"    Estimate","27,233","20,862","6,371"
"Rutherford County, Tennessee","","",""
"    Estimate","121,944","86,072","35,872"
"Sevier County, Tennessee","","",""
"    Estimate","36,670","27,246","9,424"
"Shelby County, Tennessee","","",""
"    Estimate","366,593","202,996","163,597"
"Sullivan County, Tennessee","","",""
"    Estimate","68,804","48,845","19,959"
"Sumner County, Tennessee","","",""
"    Estimate","77,760","56,275","21,485"
"Washington County, Tennessee","","",""
"    Estimate","56,752","36,438","20,314"
"Williamson County, Tennessee","","",""
"    Estimate","91,406","75,296","16,110"
"Wilson County, Tennessee","","",""
"    Estimate","55,047","42,074","12,973"
"Angelina County, Texas","","",""
"    Estimate","32,538","20,745","11,793"
